NUM,FECHA,PERSONA,TEMA,ARCHIVO,UBICACION_ORIGINAL,EXT,TAM_KB
125,2026-08-16 (mtime),COMPARTIDO,Auditoría,12_LOCAL_VS_DRIVE.md,AUDITORIA_GLOBAL\12_LOCAL_VS_DRIVE.md,.md,2.5
126,2026-08-16 (mtime),COMPARTIDO,Auditoría,13_DUPLICADOS.md,AUDITORIA_GLOBAL\13_DUPLICADOS.md,.md,2.1
127,2026-08-16 (mtime),COMPARTIDO,Auditoría,14_CONTRADICCIONES.md,AUDITORIA_GLOBAL\14_CONTRADICCIONES.md,.md,2.7
128,2026-08-16 (mtime),COMPARTIDO,Auditoría,15_INFORMACION_FALTANTE.md,AUDITORIA_GLOBAL\15_INFORMACION_FALTANTE.md,.md,2.9
129,2026-08-16 (mtime),COMPARTIDO,Auditoría,16_CONCLUSIONES.md,AUDITORIA_GLOBAL\16_CONCLUSIONES.md,.md,3.8
130,2026-08-16 (mtime),COMPARTIDO,Auditoría,17_ANALISIS_IMAGENES_FASE2.md,AUDITORIA_GLOBAL\17_ANALISIS_IMAGENES_FASE2.md,.md,2.9
131,2026-08-16 (mtime),COMPARTIDO,Auditoría,18_DOCUMENTOS_RECUPERADOS_FASE2.md,AUDITORIA_GLOBAL\18_DOCUMENTOS_RECUPERADOS_FASE2.md,.md,12.2
132,2026-08-16 (mtime),COMPARTIDO,Auditoría,20_INVENTARIO_TOTAL_ARCHIVOS.csv,AUDITORIA_GLOBAL\20_INVENTARIO_TOTAL_ARCHIVOS.csv,.csv,48.2
133,2026-08-16 (mtime),COMPARTIDO,Auditoría,ROADMAP_30_DIAS.md,AUDITORIA_GLOBAL\OTROS DOCUMENTOS POR ORDENAR\ROADMAP_30_DIAS.md,.md,6.5
134,2026-08-16 (mtime),MARC,General,AGENTS.md,MARC\AGENTS.md,.md,2.5
135,2026-08-16 (mtime),MARC,General,TEST-TOKENROUTER.md,MARC\TEST-TOKENROUTER.md,.md,1.6
136,2026-08-16 (mtime),MARC,General,TOKENROUTER-VSCODE-SETUP-REPORT.md,MARC\TOKENROUTER-VSCODE-SETUP-REPORT.md,.md,4.0
137,2026-08-16 (mtime),MARC,Chat/Audios,transcribe_instructions.txt,MARC\Chat de WhatsApp con MARC\transcribe_instructions.txt,.txt,2.2
138,2026-08-17,MARC,Chat/Audios,PTT-20260817-WA0006.txt,MARC\Chat de WhatsApp con MARC (ÚLTIMO EL MÁS RECIENTE)\Chat de WhatsApp con Marc Souza Gil\transcripts_20260817\PTT-20260817-WA0006.txt,.txt,0.0
139,2026-08-17,MARC,Chat/Audios,PTT-20260817-WA0010.txt,MARC\Chat de WhatsApp con MARC (ÚLTIMO EL MÁS RECIENTE)\Chat de WhatsApp con Marc Souza Gil\transcripts_20260817\PTT-20260817-WA0010.txt,.txt,1.2
140,2026-08-17,MARC,Chat/Audios,PTT-20260817-WA0011.txt,MARC\Chat de WhatsApp con MARC (ÚLTIMO EL MÁS RECIENTE)\Chat de WhatsApp con Marc Souza Gil\transcripts_20260817\PTT-20260817-WA0011.txt,.txt,1.8
141,2026-08-17,MARC,Chat/Audios,PTT-20260817-WA0012.txt,MARC\Chat de WhatsApp con MARC (ÚLTIMO EL MÁS RECIENTE)\Chat de WhatsApp con Marc Souza Gil\transcripts_20260817\PTT-20260817-WA0012.txt,.txt,2.3
142,2026-08-17,MARC,Chat/Audios,PTT-20260817-WA0013.txt,MARC\Chat de WhatsApp con MARC (ÚLTIMO EL MÁS RECIENTE)\Chat de WhatsApp con Marc Souza Gil\transcripts_20260817\PTT-20260817-WA0013.txt,.txt,0.8
143,2026-08-17,MARC,Chat/Audios,PTT-20260817-WA0014.txt,MARC\Chat de WhatsApp con MARC (ÚLTIMO EL MÁS RECIENTE)\Chat de WhatsApp con Marc Souza Gil\transcripts_20260817\PTT-20260817-WA0014.txt,.txt,1.0
144,2026-08-17,MARC,Chat/Audios,PTT-20260817-WA0015.txt,MARC\Chat de WhatsApp con MARC (ÚLTIMO EL MÁS RECIENTE)\Chat de WhatsApp con Marc Souza Gil\transcripts_20260817\PTT-20260817-WA0015.txt,.txt,0.6
145,2026-08-17,MARC,Chat/Audios,PTT-20260817-WA0017.txt,MARC\Chat de WhatsApp con MARC (ÚLTIMO EL MÁS RECIENTE)\Chat de WhatsApp con Marc Souza Gil\transcripts_20260817\PTT-20260817-WA0017.txt,.txt,0.6
146,2026-08-17,MARC,Chat/Audios,PTT-20260817-WA0018.txt,MARC\Chat de WhatsApp con MARC (ÚLTIMO EL MÁS RECIENTE)\Chat de WhatsApp con Marc Souza Gil\transcripts_20260817\PTT-20260817-WA0018.txt,.txt,2.7
147,2026-08-17,MARC,Chat/Audios,PTT-20260817-WA0019.txt,MARC\Chat de WhatsApp con MARC (ÚLTIMO EL MÁS RECIENTE)\Chat de WhatsApp con Marc Souza Gil\transcripts_20260817\PTT-20260817-WA0019.txt,.txt,0.2
148,2026-08-17,MARC,Chat/Audios,PTT-20260817-WA0020.txt,MARC\Chat de WhatsApp con MARC (ÚLTIMO EL MÁS RECIENTE)\Chat de WhatsApp con Marc Souza Gil\transcripts_20260817\PTT-20260817-WA0020.txt,.txt,0.2
